Wavelength_nm,LED365,LED385wide,LED430,LED480,LED535,LED568wide,LED600,LED635,LED680,LED700,LED740,LED765,QE
376.7,0.179568163,0.814314404,0.078366407,0.00944736,0,0,0,0,0,0,0,0,0.157916619
376.8,0.176373652,0.817700831,0.079395654,0.00944,0,0,0,0,0,0,0,0,0.157910826
376.9,0.173219602,0.821073407,0.080430655,0.009432918,0,0,0,0,0,0,0,0,0.157905115
377,0.170101071,0.824432133,0.081471395,0.009426119,0,0,0,0,0,0,0,0,0.157899487
377.1,0.167013118,0.827777008,0.082517856,0.009419609,0,0,0,0,0,0,0,0,0.157893944
377.2,0.163950804,0.831108033,0.083570023,0.009413395,0,0,0,0,0,0,0,0,0.157888485
377.3,0.160909187,0.834425208,0.084627879,0.009407482,0,0,0,0,0,0,0,0,0.157883114
377.4,0.157678491,0.837728532,0.085691408,0.009401875,0,0,0,0,0,0,0,0,0.15787783
377.5,0.154377932,0.841018006,0.086760594,0.009396581,0,0,0,0,0,0,0,0,0.157872635
377.6,0.151097253,0.844293629,0.087835421,0.009391605,0,0,0,0,0,0,0,0,0.157867529
377.7,0.147837786,0.847555402,0.088915873,0.009386953,0,0,0,0,0,0,0,0,0.157862514
377.8,0.144600861,0.850803324,0.090001933,0.009382631,0,0,0,0,0,0,0,0,0.157857592
377.9,0.141387808,0.854037396,0.091093586,0.009378645,0,0,0,0,0,0,0,0,0.157852762
378,0.138199957,0.857257618,0.092190814,0.009375,0,0,0,0,0,0,0,0,0.157848027
378.1,0.135038639,0.860463989,0.093293602,0.009371702,0,0,0,0,0,0,0,0,0.157843387
378.2,0.131905183,0.86365651,0.094401934,0.009368758,0,0,0,0,0,0,0,0,0.157838843
378.3,0.128800921,0.86683518,0.095515794,0.009366172,0,0,0,0,0,0,0,0,0.157834396
378.4,0.125727182,0.87,0.096635164,0.009363951,0,0,0,0,0,0,0,0,0.157830048
378.5,0.122685298,0.873501604,0.09776003,0.0093621,0,0,0,0,0,0,0,0,0.1578258
378.6,0.119676597,0.876987899,0.098890374,0.009360625,0,0,0,0,0,0,0,0,0.157821652
378.7,0.11670241,0.880457428,0.100026181,0.009359532,0,0,0,0,0,0,0,0,0.157817606
378.8,0.113764069,0.883908733,0.101167435,0.009358827,0,0,0,0,0,0,0,0,0.157813663
378.9,0.110862902,0.887340356,0.102314119,0.009358516,0,0,0,0,0,0,0,0,0.157809824
379,0.108069776,0.890750838,0.103466217,0.009358603,0,0,0,0,0,0,0,0,0.15780609
379.1,0.105347668,0.894138723,0.104623713,0.009359096,0,0,0,0,0,0,0,0,0.157802462
379.2,0.102666784,0.897502551,0.10578659,0.00936,0,0,0,0,0,0,0,0,0.157798941
379.3,0.100026713,0.900840866,0.106954833,0.00936132,0,0,0,0,0,0,0,0,0.157795529
379.4,0.097427045,0.904152209,0.108128426,0.009363063,0,0,0,0,0,0,0,0,0.157792226
379.5,0.094867368,0.907435122,0.109307351,0.009365234,0,0,0,0,0,0,0,0,0.157789033
379.6,0.092347273,0.910688147,0.110491594,0.00936784,0,0,0,0,0,0,0,0,0.157785952
379.7,0.089866348,0.913909827,0.111681137,0.009370884,0,0,0,0,0,0,0,0,0.157782984
379.8,0.087424183,0.917098702,0.112875964,0.009374375,0,0,0,0,0,0,0,0,0.157780129
379.9,0.085020367,0.920253317,0.11407606,0.009378317,0,0,0,0,0,0,0,0,0.15777739
380,0.082654489,0.923372212,0.115281408,0.009382716,0,0,0,0,0,0,0,0,0.157774766
380.1,0.080326139,0.926453929,0.116491992,0.009387578,0,0,0,0,0,0,0,0,0.157772259
380.2,0.078034907,0.929497011,0.117707796,0.009392909,0,0,0,0,0,0,0,0,0.157769871
380.3,0.075780381,0.9325,0.118928803,0.009398714,0,0,0,0,0,0,0,0,0.157767602
380.4,0.07356215,0.935461438,0.120154997,0.009405,0,0,0,0,0,0,0,0,0.157765453
380.5,0.071379805,0.938379866,0.121386363,0.009411772,0,0,0,0,0,0,0,0,0.157763425
380.6,0.069232934,0.941253827,0.122622884,0.009419035,0,0,0,0,0,0,0,0,0.15776152
380.7,0.067121127,0.944081863,0.123864543,0.009426797,0,0,0,0,0,0,0,0,0.157759738
380.8,0.065043973,0.946862516,0.125111325,0.009435062,0,0,0,0,0,0,0,0,0.157758081
380.9,0.063001061,0.949594329,0.126363214,0.009443836,0,0,0,0,0,0,0,0,0.15775655
381,0.060991981,0.952275842,0.127620192,0.009453125,0,0,0,0,0,0,0,0,0.157755146
381.1,0.058966163,0.954905598,0.128882245,0.009462935,0,0,0,0,0,0,0,0,0.157753869
381.2,0.056925465,0.95748214,0.130149355,0.009473272,0,0,0,0,0,0,0,0,0.157752722
381.3,0.054921747,0.960004009,0.131421507,0.009484141,0,0,0,0,0,0,0,0,0.157751705
381.4,0.05295622,0.962469748,0.132698684,0.009495548,0,0,0,0,0,0,0,0,0.157750819
381.5,0.051030095,0.964877898,0.13398087,0.009507499,0,0,0,0,0,0,0,0,0.157750065
381.6,0.049144584,0.967227001,0.13526805,0.00952,0,0,0,0,0,0,0,0,0.157749444
381.7,0.047300898,0.9695156,0.136560206,0.009533057,0,0,0,0,0,0,0,0,0.157748959
381.8,0.045500249,0.971742236,0.137857323,0.009546674,0,0,0,0,0,0,0,0,0.157748608
381.9,0.043743848,0.973905453,0.139159384,0.009560859,0,0,0,0,0,0,0,0,0.157748394
382,0.042032906,0.976003791,0.140466374,0.009575617,0,0,0,0,0,0,0,0,0.157748318
382.1,0.040368635,0.978035792,0.141778275,0.009590954,0,0,0,0,0,0,0,0,0.157748381
382.2,0.038752247,0.98,0.143095073,0.009606875,0,0,0,0,0,0,0,0,0.157748584
382.3,0.037184952,0.981149858,0.14441675,0.009623386,0,0,0,0,0,0,0,0,0.157748928
382.4,0.035667962,0.982232104,0.14574329,0.009640494,0,0,0,0,0,0,0,0,0.157749414
382.5,0.034202489,0.983248378,0.147074678,0.009658203,0,0,0,0,0,0,0,0,0.157750043
382.6,0.032789745,0.984200321,0.148410897,0.00967652,0,0,0,0,0,0,0,0,0.157750816
382.7,0.03143094,0.985089572,0.14975193,0.00969545,0,0,0,0,0,0,0,0,0.157751735
382.8,0.030127285,0.985917772,0.151097762,0.009715,0,0,0,0,0,0,0,0,0.1577528
382.9,0.029135397,0.986686561,0.152448377,0.009735175,0,0,0,0,0,0,0,0,0.157754013
383,0.028236491,0.98739758,0.153803758,0.00975598,0,0,0,0,0,0,0,0,0.157755374
383.1,0.027400311,0.988052468,0.155163889,0.009777422,0,0,0,0,0,0,0,0,0.157756885
383.2,0.026624485,0.988652865,0.156528754,0.009799506,0,0,0,0,0,0,0,0,0.157758547
383.3,0.025906644,0.989200412,0.157898336,0.009822239,0,0,0,0,0,0,0,0,0.157760361
383.4,0.025244418,0.989696749,0.159272621,0.009845625,0,0,0,0,0,0,0,0,0.157762328
383.5,0.024635438,0.990143516,0.16065159,0.009869671,0,0,0,0,0,0,0,0,0.157764449
383.6,0.024077334,0.990542353,0.162035228,0.009894383,0,0,0,0,0,0,0,0,0.157766725
383.7,0.023567736,0.990894901,0.16342352,0.009919766,0,0,0,0,0,0,0,0,0.157769157
383.8,0.023104274,0.991202799,0.164816448,0.009945826,0,0,0,0,0,0,0,0,0.157771747
383.9,0.022684578,0.991467688,0.166213996,0.009972568,0,0,0,0,0,0,0,0,0.157774495
384,0.02230628,0.991691209,0.167616149,0.01,0,0,0,0,0,0,0,0,0.157777403
384.1,0.021967008,0.991875,0.16902289,0.01006979,0,0,0,0,0,0,0,0,0.157780471
384.2,0.021664393,0.992020703,0.170434203,0.010140262,0,0,0,0,0,0,0,0,0.157783702
384.3,0.021396066,0.992129957,0.171850072,0.010211406,0,0,0,0,0,0,0,0,0.157787094
384.4,0.021159656,0.992204403,0.17327048,0.01028321,0,0,0,0,0,0,0,0,0.157790651
384.5,0.020952794,0.992245681,0.174695411,0.010355662,0,0,0,0,0,0,0,0,0.157794373
384.6,0.020773111,0.992255431,0.17612485,0.01042875,0,0,0,0,0,0,0,0,0.157798261
384.7,0.020618235,0.992235293,0.17755878,0.010502463,0,0,0,0,0,0,0,0,0.157802316
384.8,0.020485798,0.992186908,0.178997184,0.01057679,0,0,0,0,0,0,0,0,0.157806539
384.9,0.02037343,0.992111915,0.180440047,0.010651719,0,0,0,0,0,0,0,0,0.157810932
385,0.020278761,0.992011955,0.181887352,0.010727238,0,0,0,0,0,0,0,0,0.157815495
385.1,0.020199421,0.991888668,0.183339083,0.010803335,0,0,0,0,0,0,0,0,0.157820229
385.2,0.02013304,0.991743694,0.184795225,0.01088,0,0,0,0,0,0,0,0,0.157825137
385.3,0.020077249,0.991578674,0.18625576,0.01095722,0,0,0,0,0,0,0,0,0.157830218
385.4,0.020029678,0.991395247,0.187720673,0.011034985,0,0,0,0,0,0,0,0,0.157835473
385.5,0.019987957,0.991195054,0.189189947,0.011113281,0,0,0,0,0,0,0,0,0.157840905
385.6,0.019949716,0.990979735,0.190663566,0.011192099,0,0,0,0,0,0,0,0,0.157846514
385.7,0.019912586,0.990750929,0.192141514,0.011271426,0,0,0,0,0,0,0,0,0.1578523
385.8,0.019874197,0.990510278,0.193623776,0.01135125,0,0,0,0,0,0,0,0,0.157858266
385.9,0.019832179,0.990259422,0.195110333,0.011431561,0,0,0,0,0,0,0,0,0.157864412
386,0.019784162,0.99,0.196601171,0.011512346,0,0,0,0,0,0,0,0,0.15787074
386.1,0.019727776,0.990478751,0.198096274,0.011593594,0,0,0,0,0,0,0,0,0.157877249
386.2,0.019660653,0.990949118,0.199595624,0.011675293,0,0,0,0,0,0,0,0,0.157883943
386.3,0.019580421,0.991409644,0.201099206,0.011757432,0,0,0,0,0,0,0,0,0.157890821
386.4,0.019484711,0.991858872,0.202607004,0.01184,0,0,0,0,0,0,0,0,0.157897884
386.5,0.019371154,0.992295342,0.204119001,0.011922984,0,0,0,0,0,0,0,0,0.157905135
386.6,0.019237379,0.992717597,0.205635182,0.012006373,0,0,0,0,0,0,0,0,0.157912573
386.7,0.019081017,0.99312418,0.207155529,0.012090156,0,0,0,0,0,0,0,0,0.1579202
386.8,0.018899698,0.993513632,0.208680027,0.012174321,0,0,0,0,0,0,0,0,0.157928018
386.9,0.018691053,0.993884495,0.21020866,0.012258856,0,0,0,0,0,0,0,0,0.157936026
387,0.018452711,0.994235311,0.211741412,0.01234375,0,0,0,0,0,0,0,0,0.157944227
387.1,0.018182303,0.994564623,0.213278266,0.012428991,0,0,0,0,0,0,0,0,0.157952621
387.2,0.017877459,0.994870972,0.214819205,0.012514568,0,0,0,0,0,0,0,0,0.157961209
387.3,0.017535809,0.995152901,0.216364215,0.012600469,0,0,0,0,0,0,0,0,0.157969993
387.4,0.017154983,0.995408952,0.217913278,0.012686682,0,0,0,0,0,0,0,0,0.157978974
387.5,0.016732612,0.995637666,0.219466379,0.012773196,0,0,0,0,0,0,0,0,0.157988152
387.6,0.016266326,0.995837586,0.221023501,0.01286,0,0,0,0,0,0,0,0,0.157997529
387.7,0.015753755,0.996007253,0.222584628,0.012947081,0,0,0,0,0,0,0,0,0.158011136
387.8,0.01519253,0.996145211,0.224149744,0.013034429,0,0,0,0,0,0,0,0,0.158026357
387.9,0.01458028,0.99625,0.225718833,0.013122031,0,0,0,0,0,0,0,0,0.158041777
388,0.013914636,0.996320163,0.227291878,0.013209877,0,0,0,0,0,0,0,0,0.158057393
388.1,0.013193228,0.996354243,0.228868864,0.013297953,0,0,0,0,0,0,0,0,0.158073206
388.2,0.012413686,0.99635078,0.230449773,0.01338625,0,0,0,0,0,0,0,0,0.158089214
388.3,0.01157364,0.996308318,0.232034591,0.013474755,0,0,0,0,0,0,0,0,0.158105416
388.4,0.010670722,0.996225397,0.2336233,0.013563457,0,0,0,0,0,0,0,0,0.15812181
388.5,0,0.996100561,0.235215885,0.013652344,0,0,0,0,0,0,0,0,0.158138397
388.6,0,0.995932352,0.236812329,0.013741404,0,0,0,0,0,0,0,0,0.158155174
388.7,0,0.99571931,0.238412616,0.013830627,0,0,0,0,0,0,0,0,0.15817214
388.8,0,0.99545998,0.240016731,0.01392,0,0,0,0,0,0,0,0,0.158189295
388.9,0,0.995152901,0.241624656,0.014009512,0,0,0,0,0,0,0,0,0.158206637
389,0,0.994796618,0.243236375,0.014099151,0,0,0,0,0,0,0,0,0.158224166
389.1,0,0.994389671,0.244851873,0.014188906,0,0,0,0,0,0,0,0,0.15824188
389.2,0,0.993930602,0.246471133,0.014278765,0,0,0,0,0,0,0,0,0.158259778
389.3,0,0.993417955,0.248094139,0.014368717,0,0,0,0,0,0,0,0,0.158277858
389.4,0,0.99285027,0.249720875,0.01445875,0,0,0,0,0,0,0,0,0.158296121
389.5,0,0.99222609,0.251351324,0.014548852,0,0,0,0,0,0,0,0,0.158314565
389.6,0,0.991543957,0.252985471,0.014639012,0,0,0,0,0,0,0,0,0.158333188
389.7,0,0.990802413,0.254623298,0.014729219,0,0,0,0,0,0,0,0,0.15835199
389.8,0,0.99,0.256264791,0.01481946,0,0,0,0,0,0,0,0,0.158370969
