Wavelength_nm,LED365,LED385wide,LED430,LED480,LED535,LED568wide,LED600,LED635,LED680,LED700,LED740,LED765,QE
419.1,0.0,0.043083466066559974,0.3633036167781707,0.010023325151713985,0.0032712370606960204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167347419
419.2,0.0,0.042820007292347306,0.3647322783373065,0.01008844605013488,0.0032718759928959005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167380105
419.3,0.0,0.04255590161573274,0.3661613999270936,0.010153957917749073,0.00327251416274016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167412752
419.4,0.0,0.04229094973471999,0.36759043894972016,0.010219860395269379,0.0032731515702288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16744536
419.5,0.0,0.042024952557292904,0.3690188519672585,0.010286153918471316,0.00327378821536182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167477929
419.6,0.0,0.04175770997511144,0.3704460902795603,0.010352838533831916,0.00327442405904406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167510457
419.7,0.0,0.04148902211830265,0.371871612198624,0.010419914470783857,0.0032750591208231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167542945
419.8,0.0,0.04121868967709988,0.3732948677116186,0.01048738177203155,0.00327569336160378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167575391
419.9,0.0,0.04094651186981273,0.3747153128904601,0.010555240337024801,0.0032763267813861003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167607795
420.0,0.0,0.04067228885617718,0.376132400878554,0.010623490861215602,0.0032769593801700607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167640157
420.1,0.0,0.04039581979855355,0.3775455819971122,0.010666308805769215,0.0032775911188605003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167672475
420.2,0.0,0.040116905043836505,0.378954313453615,0.010709519455155237,0.0032782220365525807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167704751
420.3,0.0,0.03973941767071627,0.38035804244718197,0.010753133966449188,0.0032788520746035604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167736982
420.4,0.0,0.03935944439744888,0.3817562212414961,0.010797162631627638,0.00327948123301344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167769168
420.5,0.0,0.03897718439894225,0.38314830439525754,0.010841617143600525,0.0032801095313298007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16780131
420.6,0.0,0.03859283534776109,0.38453373650819295,0.010886507881365174,0.0032807369109099003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167833405
420.7,0.0,0.038206596238206124,0.3859119744351944,0.01093184608560116,0.0032813634108489003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167865455
420.8,0.0,0.03781866580496798,0.38728246147885115,0.010977642413764581,0.0032819889725040604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167897457
420.9,0.0,0.03742924312738136,0.38864465096413037,0.011023908322233392,0.00328261361542296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167929412
421.0,0.0,0.037038527353687734,0.38999799078380487,0.011070654346065969,0.00328323732005802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167961319
421.1,0.0,0.036646717648276914,0.39134193031196146,0.01111789162482824,0.00328386008640924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167993178
421.2,0.0,0.036254013843588805,0.39267591702933413,0.01116563097290229,0.00328448189492904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168024988
