Wavelength_nm,LED365,LED385wide,LED430,LED480,LED535,LED568wide,LED600,LED635,LED680,LED700,LED740,LED765,QE
362.7,0.917861947,0.249574282,-0.001368323,0.010515859,0,0,0,0,0,0,0,0,0.178216293
362.8,0.925322878,0.253627351,-0.001304509,0.010526728,0,0,0,0,0,0,0,0,0.178213363
362.9,0.932482534,0.257697186,-0.001232673,0.010537065,0,0,0,0,0,0,0,0,0.178210326
363,0.939332383,0.261783059,-0.001152832,0.010546875,0,0,0,0,0,0,0,0,0.178207183
363.1,0.945863892,0.26588424,-0.001065001,0.010556164,0,0,0,0,0,0,0,0,0.178203934
363.2,0.952068529,0.27,-0.000969198,0.010564938,0,0,0,0,0,0,0,0,0.17820058
363.3,0.957937761,0.274041952,-0.000865438,0.010573203,0,0,0,0,0,0,0,0,0.178197124
363.4,0.963463055,0.27809739,-0.000753737,0.010580965,0,0,0,0,0,0,0,0,0.178193564
363.5,0.968635878,0.28216595,-0.000634112,0.010588228,0,0,0,0,0,0,0,0,0.178189904
363.6,0.973447697,0.286247266,-0.000506579,0.010595,0,0,0,0,0,0,0,0,0.178186143
363.7,0.977889981,0.290340975,-0.000371154,0.010601286,0,0,0,0,0,0,0,0,0.178182283
363.8,0.981954196,0.294446712,-0.000227853,0.010607091,0,0,0,0,0,0,0,0,0.178178324
363.9,0.985631809,0.298564113,-7.67E-05,0.010612422,0,0,0,0,0,0,0,0,0.178174268
364,0.988914288,0.302692812,8.23E-05,0.010617284,0,0,0,0,0,0,0,0,0.178170116
364.1,0.9917931,0.306832446,0.000249142,0.010621683,0,0,0,0,0,0,0,0,0.178165868
364.2,0.994259713,0.310982651,0.000423784,0.010625625,0,0,0,0,0,0,0,0,0.178161527
364.3,0.996305593,0.31514306,0.00060622,0.010629116,0,0,0,0,0,0,0,0,0.178157092
364.4,0.997922208,0.319313311,0.000796436,0.01063216,0,0,0,0,0,0,0,0,0.178152564
364.5,0.999101026,0.323493038,0.000994414,0.010634766,0,0,0,0,0,0,0,0,0.178147946
364.6,0.999833513,0.327681878,0.001200137,0.010636937,0,0,0,0,0,0,0,0,0.178143238
364.7,1.000111136,0.331879465,0.001413591,0.01063868,0,0,0,0,0,0,0,0,0.17813844
364.8,1.002061337,0.336085435,0.001634759,0.01064,0,0,0,0,0,0,0,0,0.178133554
364.9,1.011119847,0.340299424,0.001863624,0.010640904,0,0,0,0,0,0,0,0,0.178128581
365,1.018166729,0.344521067,0.002100171,0.010641397,0,0,0,0,0,0,0,0,0.178123522
365.1,1.023295616,0.34875,0.002344383,0.010641484,0,0,0,0,0,0,0,0,0.178118378
365.2,1.026600139,0.352985858,0.002596244,0.010641173,0,0,0,0,0,0,0,0,0.17811315
365.3,1.02817393,0.357228277,0.002855738,0.010640468,0,0,0,0,0,0,0,0,0.178107839
365.4,1.02811062,0.361476892,0.003122849,0.010639375,0,0,0,0,0,0,0,0,0.178102446
365.5,1.026503842,0.365731338,0.00339756,0.0106379,0,0,0,0,0,0,0,0,0.178096972
365.6,1.023447227,0.369991252,0.003679855,0.010636049,0,0,0,0,0,0,0,0,0.178091417
365.7,1.019034407,0.374256269,0.003969718,0.010633828,0,0,0,0,0,0,0,0,0.178085784
365.8,1.013359014,0.378526024,0.004267133,0.010631242,0,0,0,0,0,0,0,0,0.178080073
365.9,1.006514679,0.382800153,0.004572084,0.010628298,0,0,0,0,0,0,0,0,0.178074285
366,0.998595035,0.387078291,0.004884554,0.010625,0,0,0,0,0,0,0,0,0.178068421
366.1,0.989693713,0.391360074,0.005204528,0.010621355,0,0,0,0,0,0,0,0,0.178062483
366.2,0.979904344,0.395645138,0.005531988,0.010617369,0,0,0,0,0,0,0,0,0.17805647
366.3,0.969320561,0.399933117,0.00586692,0.010613047,0,0,0,0,0,0,0,0,0.178050385
366.4,0.958035996,0.404223648,0.006209306,0.010608395,0,0,0,0,0,0,0,0,0.178044227
366.5,0.94614428,0.408516365,0.006559131,0.010603419,0,0,0,0,0,0,0,0,0.178037999
366.6,0.933509661,0.412810905,0.006916378,0.010598125,0,0,0,0,0,0,0,0,0.178031701
366.7,0.920414917,0.417106903,0.007281031,0.010592518,0,0,0,0,0,0,0,0,0.178025335
366.8,0.907205952,0.421403995,0.007653074,0.010586605,0,0,0,0,0,0,0,0,0.1780189
366.9,0.893928209,0.425701815,0.00803249,0.010580391,0,0,0,0,0,0,0,0,0.178012399
367,0.880627129,0.43,0.008419264,0.010573881,0,0,0,0,0,0,0,0,0.178005832
367.1,0.867348155,0.434254356,0.00881338,0.010567082,0,0,0,0,0,0,0,0,0.177999201
367.2,0.854136728,0.438508529,0.00921482,0.01056,0,0,0,0,0,0,0,0,0.177992506
367.3,0.841038291,0.442762338,0.00962357,0.01055264,0,0,0,0,0,0,0,0,0.177985748
367.4,0.828098286,0.4470156,0.010039612,0.010545008,0,0,0,0,0,0,0,0,0.177978928
367.5,0.815362154,0.451268133,0.010462931,0.010537109,0,0,0,0,0,0,0,0,0.177972048
367.6,0.802875337,0.455519755,0.01089351,0.010528951,0,0,0,0,0,0,0,0,0.177965108
367.7,0.790683278,0.459770284,0.011331334,0.010520537,0,0,0,0,0,0,0,0,0.17795811
367.8,0.778889968,0.464019536,0.011776385,0.010511875,0,0,0,0,0,0,0,0,0.177951054
367.9,0.767992391,0.468267331,0.012228648,0.01050297,0,0,0,0,0,0,0,0,0.177943942
368,0.757445757,0.472513486,0.012688106,0.010493827,0,0,0,0,0,0,0,0,0.177936774
368.1,0.747224797,0.476757818,0.013154744,0.010484453,0,0,0,0,0,0,0,0,0.177929552
368.2,0.73730424,0.481000146,0.013628545,0.010474853,0,0,0,0,0,0,0,0,0.177922276
368.3,0.727658817,0.485240286,0.014109494,0.010465034,0,0,0,0,0,0,0,0,0.177914947
368.4,0.718263257,0.489478058,0.014597572,0.010455,0,0,0,0,0,0,0,0,0.177907568
368.5,0.709082503,0.493713278,0.015092766,0.010444758,0,0,0,0,0,0,0,0,0.177900137
368.6,0.700009525,0.497945765,0.015595058,0.010434313,0,0,0,0,0,0,0,0,0.177892658
368.7,0.691109814,0.502175335,0.016104432,0.010423672,0,0,0,0,0,0,0,0,0.17788513
368.8,0.682365975,0.506401808,0.016620872,0.01041284,0,0,0,0,0,0,0,0,0.177877554
368.9,0.673760615,0.510625,0.017144362,0.010401822,0,0,0,0,0,0,0,0,0.177869933
369,0.665276342,0.51484473,0.017674885,0.010390625,0,0,0,0,0,0,0,0,0.177862265
